,,,,,B&C-B (SOTA),,,,,,,,,,,B&C-I,,,,,,,,,,,
34-10-25-0.2,700,140,8044,141988,219.2,86,0.0,0.1,699.831,699.831,0,1,2944,1974,970,13.2,93,0.0,0.0,699.831,699.831,0,1,2701,1732,768,201
35-10-25-0.2,800,5,14838,312066,TL,5160,3.4,4.6,668.602,691.412,0,1,47750,9614,38136,67.5,159,0.0,0.9,668.820,668.820,0,1,5704,2897,2010,797
36-10-25-0.2,800,10,10904,224412,TL,3288,3.7,4.3,675.632,700.776,0,1,38961,9399,29562,TL,45106,0.2,1.0,677.499,679.145,0,1,13153,4550,4339,4264
37-10-25-0.2,800,80,9072,186296,TL,2066,0.7,0.7,788.527,793.879,0,1,9184,4017,5167,TL,82461,0.2,0.5,790.338,791.594,0,1,7610,3501,1409,2700
38-10-25-0.2,900,5,21526,466312,TL,2476,4.2,4.6,785.638,818.504,0,1,55977,10436,45541,827.6,2245,0.0,1.2,788.212,788.212,0,1,14729,4900,3486,6343
39-10-25-0.2,900,10,21248,471774,TL,3387,1.8,2.0,840.002,854.942,0,1,33715,8542,25173,TL,46527,0.1,0.5,840.944,842.266,0,1,8855,4108,3544,1203
40-10-25-0.2,900,90,14636,345298,TL,8635,<0.1,0.1,897.006,897.485,0,1,5581,2776,2805,TL,99743,<0.1,0.1,897.084,897.244,0,1,3812,2454,435,923
1-10-25-0.5,100,5,138,60,0.0,0,0.0,0.0,17.533,17.533,0,1,218,109,109,0.0,0,0.0,0.0,17.533,17.533,0,1,229,109,115,5
2-10-25-0.5,100,10,152,78,0.1,0,0.0,0.0,31.697,31.697,0,1,267,133,134,1.2,0,0.0,0.0,31.697,31.697,0,1,261,121,129,11
3-10-25-0.5,100,10,136,110,0.0,0,0.0,0.0,32.000,32.000,0,1,259,129,130,0.0,0,0.0,0.0,32.000,32.000,0,1,267,123,126,18
4-10-25-0.5,100,20,126,66,0.1,0,0.0,0.0,43.522,43.522,0,1,253,128,125,0.0,0,0.0,0.0,43.522,43.522,0,1,261,125,123,13
5-10-25-0.5,100,33,174,116,0.2,0,0.0,0.0,70.344,70.344,0,1,471,236,235,1.0,0,0.0,0.0,70.344,70.344,0,1,361,171,161,29
6-10-25-0.5,200,5,408,628,0.1,0,0.0,0.0,41.113,41.113,0,1,524,261,263,0.1,0,0.0,0.0,41.113,41.113,0,1,539,238,263,38
7-10-25-0.5,200,10,414,906,0.3,19,0.0,0.6,67.616,67.616,0,1,632,324,308,0.1,0,0.0,0.0,67.616,67.616,0,1,761,319,298,144
8-10-25-0.5,200,20,360,658,0.3,0,0.0,0.0,93.115,93.115,0,1,802,398,404,0.3,0,0.0,0.0,93.115,93.115,0,1,702,313,287,102
9-10-25-0.5,200,40,418,686,2.8,44,0.0,1.0,140.162,140.162,0,1,773,401,372,0.3,13,0.0,0.9,140.162,140.162,0,1,836,360,287,189
10-10-25-0.5,200,67,526,1372,13.3,597,0.0,0.7,182.753,182.753,0,1,1140,508,632,1.2,135,0.0,0.5,182.753,182.753,0,1,1506,596,396,514
11-10-25-0.5,300,5,1004,3968,0.4,3,0.0,0.0,95.450,95.450,0,1,1020,542,478,0.2,0,0.0,0.0,95.450,95.450,0,1,1077,489,410,178
12-10-25-0.5,300,10,814,2756,3.0,33,0.0,1.4,120.580,120.580,0,1,1439,693,746,0.4,0,0.0,0.0,120.580,120.580,0,1,1375,563,467,345
13-10-25-0.5,300,30,902,3342,11.7,198,0.0,1.9,198.405,198.405,0,1,2012,872,1140,2.1,27,0.0,1.5,198.405,198.405,0,1,1691,689,514,488
14-10-25-0.5,300,60,804,2722,28.3,1495,0.0,0.4,245.202,245.202,0,1,2098,895,1203,1.4,111,0.0,0.1,245.202,245.202,0,1,1903,771,567,565
15-10-25-0.5,300,100,910,3470,202.2,5452,0.0,1.1,283.164,283.164,0,1,2855,1151,1704,15.3,1052,0.0,0.8,283.164,283.164,0,1,3017,1071,645,1301
16-10-25-0.5,400,5,1974,13784,3.6,37,0.0,1.7,177.563,177.563,0,1,3091,1460,1631,1.3,11,0.0,0.4,177.563,177.563,0,1,2558,1114,736,708
17-10-25-0.5,400,10,1738,11266,16.4,514,0.0,2.3,216.971,216.971,0,1,4077,1897,2180,7.9,47,0.0,0.9,216.971,216.971,0,1,4077,1659,939,1479
18-10-25-0.5,400,40,1430,7758,290.1,4800,0.0,1.8,304.492,304.492,0,1,6089,2309,3780,31.7,418,0.0,0.9,304.492,304.492,0,1,4845,1639,919,2287
19-10-25-0.5,400,80,1644,9618,295.8,6316,0.0,1.3,371.860,371.860,0,1,4370,1836,2534,12.1,504,0.0,1.1,371.860,371.860,0,1,2799,1085,673,1041
20-10-25-0.5,400,133,1462,8014,87.5,712,0.0,0.8,395.681,395.681,0,1,2572,1236,1336,9.4,344,0.0,0.8,395.681,395.681,0,1,2431,1049,668,714
21-10-25-0.5,500,5,2918,27626,7.1,30,0.0,0.9,246.640,246.640,0,1,4308,1981,2327,1.1,0,0.0,0.0,246.640,246.640,0,1,2210,1015,826,369
22-10-25-0.5,500,10,2496,21494,59.9,686,0.0,3.3,277.373,277.373,0,1,7429,2952,4477,24.6,151,0.0,1.7,277.373,277.373,0,1,6019,2232,1444,2343
23-10-25-0.5,500,50,2772,24348,TL,24240,1.1,2.0,435.219,439.956,0,1,14684,4096,10588,1979.3,30028,0.0,1.1,436.674,436.674,0,1,10770,2873,1852,6045
24-10-25-0.5,500,100,2810,23810,TL,22662,0.3,0.9,486.136,487.661,0,1,8233,2210,6023,441.8,18185,0.0,0.7,486.765,486.765,0,1,5907,1920,1153,2834
25-10-25-0.5,500,167,3078,29866,153.6,1187,0.0,0.4,499.369,499.369,0,1,2649,1419,1230,14.8,372,0.0,0.4,499.369,499.369,0,1,2215,1122,564,529
26-10-25-0.5,600,5,5086,70238,168.9,822,0.0,4.8,356.703,356.703,0,1,15124,4273,10851,28.7,90,0.0,1.7,356.703,356.703,0,1,6917,2953,2092,1872
27-10-25-0.5,600,10,5420,75078,TL,48971,1.1,3.2,431.003,435.773,0,1,32254,5666,26588,166.2,1133,0.0,1.0,431.380,431.380,0,1,6747,2475,1912,2360
28-10-25-0.5,600,60,5338,78458,TL,7946,1.0,1.6,563.684,569.228,0,1,11757,3437,8320,TL,143037,0.1,1.0,565.937,566.558,0,1,7746,2984,1992,2770
29-10-25-0.5,600,120,4982,67654,TL,37553,<0.1,0.5,594.634,594.851,0,1,5473,1980,3493,515.3,27947,0.0,0.5,594.671,594.671,0,1,3411,1611,696,1104
30-10-25-0.5,600,200,4284,48514,1.8,0,0.0,0.0,600.000,600.000,1,2,0,0,0,0.1,0,0.0,0.0,600.000,600.000,1,2,0,0,0,0
31-10-25-0.5,700,5,8624,152102,TL,13337,1.5,5.1,490.625,497.910,0,1,55281,8365,46916,118.5,274,0.0,1.9,490.908,490.908,0,1,9943,3979,2275,3689
32-10-25-0.5,700,10,7294,123992,TL,24134,1.2,3.9,532.520,538.898,0,1,40294,8365,31929,89.8,303,0.0,0.6,533.118,533.118,0,1,7798,3623,2437,1738
33-10-25-0.5,700,70,7110,121930,TL,8642,0.5,1.0,679.037,682.176,0,1,8454,3259,5195,TL,87417,<0.1,0.7,680.020,680.226,0,1,5687,2753,1221,1713
34-10-25-0.5,700,140,8044,141988,139.3,68,0.0,0.2,699.595,699.595,0,1,2000,1408,592,8.2,29,0.0,<0.1,699.595,699.595,0,1,2813,1763,829,221
35-10-25-0.5,800,5,14838,312066,TL,11447,1.4,3.3,640.126,648.976,0,1,59883,9380,50503,52.2,91,0.0,1.1,640.362,640.362,0,1,5922,3283,1858,781
36-10-25-0.5,800,10,10904,224412,TL,6525,2.2,3.4,649.220,663.765,0,1,31651,8492,23159,TL,29464,0.4,1.4,649.240,651.741,0,1,13117,5660,4792,2665
37-10-25-0.5,800,80,9072,186296,TL,6666,0.4,0.6,782.216,785.385,0,1,9004,3492,5512,TL,71592,<0.1,0.5,783.493,783.755,0,1,5473,2812,1003,1658
38-10-25-0.5,900,5,21526,466312,TL,6262,2.3,3.4,753.694,771.159,0,1,51457,10030,41427,281.3,534,0.0,1.4,755.858,755.858,0,1,9856,4848,3013,1995
39-10-25-0.5,900,10,21248,471774,TL,8275,1.2,1.8,812.333,822.449,0,1,29345,7499,21846,TL,27518,0.1,0.8,813.694,814.756,0,1,8040,4412,2951,677
40-10-25-0.5,900,90,14636,345298,TL,23605,<0.1,0.3,893.267,893.729,0,1,4711,2478,2233,TL,156812,<0.1,0.3,893.360,893.427,0,1,3152,2138,508,506
1-10-25-0.8,100,5,138,60,0.0,0,0.0,0.0,17.533,17.533,0,1,218,109,109,0.0,0,0.0,0.0,17.533,17.533,0,1,248,118,127,3
2-10-25-0.8,100,10,152,78,0.1,0,0.0,0.0,31.599,31.599,0,1,287,144,143,0.0,0,0.0,0.0,31.599,31.599,0,1,245,115,121,9
3-10-25-0.8,100,10,136,110,0.0,0,0.0,0.0,32.000,32.000,0,1,250,125,125,0.1,0,0.0,0.0,32.000,32.000,0,1,280,135,142,3
4-10-25-0.8,100,20,126,66,0.1,0,0.0,0.0,43.489,43.489,0,1,250,127,123,0.2,0,0.0,0.0,43.489,43.489,0,1,255,124,123,8
5-10-25-0.8,100,33,174,116,0.1,0,0.0,0.0,70.258,70.258,0,1,380,194,186,0.0,0,0.0,0.0,70.258,70.258,0,1,344,167,161,16
6-10-25-0.8,200,5,408,628,0.1,0,0.0,0.0,41.005,41.005,0,1,524,261,263,0.3,0,0.0,0.0,41.005,41.005,0,1,546,238,278,30
7-10-25-0.8,200,10,414,906,0.4,12,0.0,0.2,67.246,67.246,0,1,703,355,348,0.2,4,0.0,0.2,67.246,67.246,0,1,702,305,284,113
8-10-25-0.8,200,20,360,658,0.3,0,0.0,0.0,92.846,92.846,0,1,820,419,401,0.1,0,0.0,0.0,92.846,92.846,0,1,668,310,286,72
9-10-25-0.8,200,40,418,686,0.6,0,0.0,0.0,139.585,139.585,0,1,902,470,432,0.1,4,0.0,1.0,139.585,139.585,0,1,753,348,281,124
10-10-25-0.8,200,67,526,1372,2.0,13,0.0,0.3,182.017,182.017,0,1,1366,654,712,0.2,6,0.0,0.3,182.017,182.017,0,1,833,375,267,191
11-10-25-0.8,300,5,1004,3968,0.4,2,0.0,0.0,94.700,94.700,0,1,1228,635,593,0.1,0,0.0,0.0,94.700,94.700,0,1,1002,458,413,131
12-10-25-0.8,300,10,814,2756,0.6,2,0.0,0.0,119.392,119.392,0,1,1324,664,660,0.4,0,0.0,0.0,119.392,119.392,0,1,1275,524,494,257
13-10-25-0.8,300,30,902,3342,2.0,11,0.0,1.8,196.562,196.562,0,1,1305,611,694,0.4,0,0.0,0.0,196.562,196.562,0,1,1306,573,456,277
14-10-25-0.8,300,60,804,2722,30.4,1040,0.0,<0.1,243.470,243.470,0,1,1976,926,1050,0.8,43,0.0,<0.1,243.470,243.470,0,1,1534,673,477,384
15-10-25-0.8,300,100,910,3470,7.4,63,0.0,0.8,281.152,281.152,0,1,1226,600,626,0.3,0,0.0,0.0,281.152,281.152,0,1,1754,774,558,422
16-10-25-0.8,400,5,1974,13784,2.6,13,0.0,2.0,173.705,173.705,0,1,2744,1255,1489,1.2,3,0.0,0.0,173.705,173.705,0,1,2712,1043,875,794
17-10-25-0.8,400,10,1738,11266,4.1,32,0.0,2.0,213.348,213.348,0,1,2608,1340,1268,6.3,19,0.0,0.2,213.348,213.348,0,1,2990,1236,840,914
18-10-25-0.8,400,40,1430,7758,9.8,58,0.0,0.1,300.602,300.602,0,1,2691,1269,1422,2.8,19,0.0,<0.1,300.602,300.602,0,1,2704,1063,827,814
19-10-25-0.8,400,80,1644,9618,20.1,85,0.0,1.0,368.985,368.985,0,1,2430,1026,1404,1.7,3,0.0,0.0,368.985,368.985,0,1,2029,850,731,448
20-10-25-0.8,400,133,1462,8014,21.0,43,0.0,1.0,394.491,394.491,0,1,1310,694,616,2.9,45,0.0,1.0,394.491,394.491,0,1,1878,904,646,328
21-10-25-0.8,500,5,2918,27626,3.2,3,0.0,0.0,240.856,240.856,0,1,2413,1250,1163,1.0,0,0.0,0.0,240.856,240.856,0,1,2247,1025,820,402
22-10-25-0.8,500,10,2496,21494,15.0,111,0.0,1.2,270.509,270.509,0,1,5133,2227,2906,8.5,35,0.0,0.8,270.509,270.509,0,1,4988,1911,1703,1374
23-10-25-0.8,500,50,2772,24348,293.2,5215,0.0,1.2,430.600,430.600,0,1,6726,2554,4172,81.1,1062,0.0,0.6,430.600,430.600,0,1,4993,1825,1130,2038
24-10-25-0.8,500,100,2810,23810,51.5,174,0.0,0.5,483.426,483.426,0,1,3052,1378,1674,9.1,65,0.0,0.5,483.426,483.426,0,1,2888,1312,959,617
25-10-25-0.8,500,167,3078,29866,123.1,950,0.0,0.4,499.068,499.068,0,1,2393,1298,1095,18.0,868,0.0,0.4,499.068,499.068,0,1,2396,1234,566,596
26-10-25-0.8,600,5,5086,70238,41.5,185,0.0,3.0,343.159,343.159,0,1,8749,3562,5187,18.7,45,0.0,1.2,343.159,343.159,0,1,6020,2814,1913,1293
27-10-25-0.8,600,10,5420,75078,165.2,1484,0.0,1.6,417.267,417.267,0,1,10591,3385,7206,34.7,127,0.0,0.6,417.267,417.267,0,1,6020,2627,2032,1361
28-10-25-0.8,600,60,5338,78458,TL,81837,<0.1,0.5,558.924,559.442,0,1,9585,2295,7290,564.8,32517,0.0,0.4,559.024,559.024,0,1,4713,2028,1793,892
29-10-25-0.8,600,120,4982,67654,168.2,1393,0.0,0.4,592.421,592.421,0,1,3378,1579,1799,41.1,1121,0.0,0.5,592.421,592.421,0,1,2620,1341,622,657
30-10-25-0.8,600,200,4284,48514,1.9,0,0.0,0.0,600.000,600.000,1,5,0,0,0,0.0,0,0.0,0.0,600.000,600.000,1,5,0,0,0,0
31-10-25-0.8,700,5,8624,152102,118.3,360,0.0,2.7,471.243,471.243,0,1,12932,4653,8279,40.6,83,0.0,1.3,471.243,471.243,0,1,7459,3394,2351,1714
32-10-25-0.8,700,10,7294,123992,267.8,735,0.0,2.2,512.626,512.626,0,1,14453,4573,9880,45.1,113,0.0,0.5,512.626,512.626,0,1,6098,3244,2241,613
33-10-25-0.8,700,70,7110,121930,TL,62878,<0.1,0.8,673.193,673.493,0,1,7217,2744,4473,976.2,48173,0.0,0.4,673.224,673.224,0,1,4216,2086,1223,907
34-10-25-0.8,700,140,8044,141988,122.3,27,0.0,0.3,699.358,699.358,0,1,1816,1244,572,10.6,39,0.0,0.0,699.358,699.358,0,1,2746,1686,905,155
35-10-25-0.8,800,5,14838,312066,223.9,334,0.0,2.2,611.905,611.905,0,1,14597,5100,9497,44.2,67,0.0,1.2,611.905,611.905,0,1,6358,3538,2424,396
36-10-25-0.8,800,10,10904,224412,TL,18206,1.5,2.5,620.276,629.455,0,1,26701,6849,19852,TL,15769,0.2,1.7,621.048,622.155,0,1,13261,6100,4715,2446
37-10-25-0.8,800,80,9072,186296,TL,52802,<0.1,0.6,777.407,777.586,0,1,6379,2897,3482,174.3,1495,0.0,0.6,777.419,777.419,0,1,4433,2538,822,1073
38-10-25-0.8,900,5,21526,466312,1301.8,1376,0.0,2.4,723.503,723.503,0,1,32076,6361,25715,92.0,189,0.0,1.1,723.503,723.503,0,1,7711,4504,2584,623
39-10-25-0.8,900,10,21248,471774,TL,31214,0.6,1.3,787.246,792.222,0,1,22720,6420,16300,TL,31945,0.3,0.9,787.276,789.959,0,1,9383,4901,3993,489
40-10-25-0.8,900,90,14636,345298,TL,78877,0.0,0.1,889.914,889.943,0,1,4238,2421,1817,1553.7,80429,0.0,0.4,889.915,889.915,0,1,2702,1946,462,294
